date,Ray-Ban Meta,smart glasses,Meta glasses
2023-01-01,0,3,0
2023-01-08,0,3,0
2023-01-15,0,3,0
2023-01-22,0,2,0
2023-01-29,0,2,0
2023-02-05,0,2,0
2023-02-12,0,2,0
2023-02-19,0,3,0
2023-02-26,0,2,0
2023-03-05,0,2,0
2023-03-12,0,2,0
2023-03-19,0,2,0
2023-03-26,0,2,0
2023-04-02,0,2,0
2023-04-09,0,2,0
2023-04-16,0,2,0
2023-04-23,0,2,0
2023-04-30,0,2,0
2023-05-07,0,2,0
2023-05-14,0,2,0
2023-05-21,0,2,0
2023-05-28,0,2,0
2023-06-04,0,3,1
2023-06-11,0,2,0
2023-06-18,0,2,0
2023-06-25,0,2,0
2023-07-02,0,2,0
2023-07-09,0,2,0
2023-07-16,0,2,0
2023-07-23,0,2,0
2023-07-30,0,2,0
2023-08-06,0,2,0
2023-08-13,0,2,0
2023-08-20,0,2,0
2023-08-27,0,2,0
2023-09-03,0,2,0
2023-09-10,0,2,0
2023-09-17,0,2,0
2023-09-24,2,11,11
2023-10-01,1,9,10
2023-10-08,0,4,3
2023-10-15,0,5,5
2023-10-22,1,6,5
2023-10-29,0,4,4
2023-11-05,1,5,4
2023-11-12,1,6,4
2023-11-19,1,8,6
2023-11-26,1,7,5
2023-12-03,1,8,6
2023-12-10,1,8,7
2023-12-17,1,8,6
2023-12-24,1,8,7
2023-12-31,1,5,4
2024-01-07,1,5,4
2024-01-14,1,5,4
2024-01-21,1,4,3
2024-01-28,1,5,4
2024-02-04,1,5,4
2024-02-11,1,5,4
2024-02-18,1,5,4
2024-02-25,1,4,3
2024-03-03,1,4,3
2024-03-10,1,4,3
2024-03-17,1,4,3
2024-03-24,1,4,3
2024-03-31,1,4,2
2024-04-07,1,4,3
2024-04-14,1,4,2
2024-04-21,1,4,4
2024-04-28,1,4,4
2024-05-05,1,4,3
2024-05-12,1,4,3
2024-05-19,1,4,4
2024-05-26,1,5,4
2024-06-02,1,5,4
2024-06-09,1,6,5
2024-06-16,1,6,5
2024-06-23,1,6,5
2024-06-30,1,6,4
2024-07-07,1,7,5
2024-07-14,1,7,6
2024-07-21,1,7,5
2024-07-28,1,6,4
2024-08-04,1,5,4
2024-08-11,1,5,5
2024-08-18,1,6,4
2024-08-25,1,6,4
2024-09-01,1,6,4
2024-09-08,1,5,4
2024-09-15,1,5,5
2024-09-22,1,7,14
2024-09-29,2,7,12
2024-10-06,1,7,8
2024-10-13,1,7,7
2024-10-20,2,7,8
2024-10-27,1,7,9
2024-11-03,1,7,8
2024-11-10,1,8,9
2024-11-17,2,8,9
2024-11-24,2,11,17
2024-12-01,2,9,13
2024-12-08,2,9,10
2024-12-15,2,9,11
2024-12-22,2,10,16
2024-12-29,1,8,11
2025-01-05,2,11,20
2025-01-12,2,9,10
2025-01-19,1,7,9
2025-01-26,1,8,9
2025-02-02,1,8,9
2025-02-09,2,7,12
2025-02-16,2,7,13
2025-02-23,1,7,12
2025-03-02,2,6,11
2025-03-09,2,6,11
2025-03-16,1,6,10
2025-03-23,1,7,10
2025-03-30,1,7,10
2025-04-06,2,6,10
2025-04-13,2,7,11
2025-04-20,2,7,13
2025-04-27,2,7,14
2025-05-04,2,7,15
2025-05-11,2,7,21
2025-05-18,2,8,27
2025-05-25,2,7,26
2025-06-01,3,8,26
2025-06-08,4,9,34
2025-06-15,4,10,39
2025-06-22,3,9,33
2025-06-29,3,10,30
2025-07-06,3,12,31
2025-07-13,4,11,31
2025-07-20,5,11,32
2025-07-27,7,14,35
2025-08-03,10,22,41
2025-08-10,13,27,43
2025-08-17,13,26,48
2025-08-24,11,25,46
2025-08-31,11,24,40
2025-09-07,10,21,38
2025-09-14,27,34,92
2025-09-21,23,27,69
2025-09-28,19,24,59
2025-10-05,15,20,50
2025-10-12,14,21,47
2025-10-19,16,21,50
2025-10-26,13,20,45
2025-11-02,12,19,46
2025-11-09,13,19,51
2025-11-16,12,19,62
2025-11-23,22,27,82
2025-11-30,20,27,77
2025-12-07,17,25,71
2025-12-14,17,24,79
2025-12-21,17,24,100
2025-12-28,13,21,78
2026-01-04,12,19,65
2026-01-11,12,21,62
2026-01-18,10,19,52
2026-01-25,12,20,51
2026-02-01,12,19,53
2026-02-08,13,22,63
2026-02-15,14,22,59
2026-02-22,11,22,57
2026-03-01,14,24,60
2026-03-08,13,23,59
2026-03-15,13,22,55
2026-03-22,15,33,54
2026-03-29,28,57,63
2026-04-05,31,61,66
2026-04-12,34,69,73
2026-04-19,25,53,60
2026-04-26,23,48,62
2026-05-03,25,61,62
2026-05-10,37,60,69
2026-05-17,42,54,77
2026-05-24,31,39,68
2026-05-31,31,44,69
2026-06-07,11,19,58
2026-06-14,12,19,68
2026-06-21,11,19,61
