tarih,olay,kumulatif_satis_milyon,donem_satis_milyon,yoy_buyume_yuzde,kaynak
2023-10-17,Ray-Ban Meta Gen 2 satisa sunuldu,0,0,,Wikipedia
2023-12-31,2023 yil sonu (lansman yili),~1,~1,,CNBC
2024-06-30,2024 H1 sonu — 1 milyon satis esigi asildi,~1.5,~0.5,,Visiofactory
2024-12-31,2024 yil sonu — yillik 1 milyon adet,2,1,,CNBC / Daring Fireball
2025-06-30,2025 H1 — satis geliri 3 katina cikti,~5,~3,300,CNBC
2025-09-30,"Ray-Ban Meta Display lansmani — 48 saat icinde stoklar tukendi",~6,~1,,Meta Blog
2025-12-31,2025 yil sonu — 7 milyon+ adet (tek yilda),9,7,350,Road to VR / CNBC
2026-01-13,Bloomberg: Uretim 20 milyon adede cikarilacak (hedef),9+,,, Bloomberg
2026-02-11,EssilorLuxottica resmi aciklama: 2025 satislari 3x+ artti,9+,,,CNBC
